Date,2193340,2338523,2339495,2343225,2343940,2361000,2364500,2369800,2371500,2372250,2373000,2374500,2374745,2388975,2408540,2422500,2427250,2350600,2450250,2450825,2464000,2467500,2469800,2470072,2472000,2472850,2479155,2481510,3544970,3574500,2370000,2367310,2365769,2365470,2327100,2326000,2324000,2322700,2315550,2315500,2228500,2299950,2298608,2312200,2297155,2296500,2298123,2295013,2266200,2268390
1/1/2013,366.985728,43059.65875,114988.8614,557818.3066,50644.03046,1279556.905,4012377.293,230467.0372,1869180.641,672807.168,915017.7485,354752.8704,415917.1584,506440.3046,1032453.181,6466288.527,384111.7286,291142.0109,3058214.4,2084478.935,2446571.52,5896237.363,672807.168,19352.38072,10985106.12,4061308.723,337626.8698,1898539.5,337626.8698,2789091.533,989638.1798,169547.4063,266676.2957,366985.728,26912.28672,126732.4047,134072.1193,829387.7453,836727.4598,481974.5894,41836.37299,29114.20109,49665.40186,35230.62989,13260.41764,115478.1757,117680.0901,12208.39188,2250.845798,76577.68858
1/2/2013,1100.957184,64344.83098,130646.9192,545585.449,52111.97338,1140102.328,3205008.691,218234.1796,1409225.196,633662.0237,800028.887,398791.1578,428150.016,758437.1712,2402533.233,6594733.532,433043.159,296035.1539,3376268.698,3082680.115,6483414.528,7584371.712,1076491.469,40613.08723,13847594.8,3376268.698,751097.4566,1737065.779,384111.7286,6507880.243,959056.0358,167100.8348,239030.0375,322947.4406,24465.7152,122083.9188,130891.5763,829387.7453,829387.7453,477081.4464,40857.74438,26422.97242,48442.1161,36943.22995,12477.51475,111319.0042,109851.0612,12086.06331,2348.708659,76333.03142
1/3/2013,1370.080051,39634.45862,125019.8047,587177.1648,53579.91629,1078938.04,2789091.533,217010.8938,1115636.613,733971.456,1181694.044,533352.5914,516226.5907,592070.3078,1573145.487,6153127.373,491760.8755,332733.7267,1541340.058,1394545.766,2911420.109,7975823.155,817154.8877,21554.29509,13774197.66,2764625.818,526012.8768,2028207.79,349859.7274,5309060.198,927250.6061,171015.3492,217500.2081,322947.4406,24025.33233,119392.6902,126977.0619,826941.1738,775563.1718,467295.1603,41102.40154,25199.68666,49665.40186,37432.54426,11523.35186,106915.1754,105447.2325,11963.73473,2397.64009,75599.05997
1/4/2013,831.8343168,31560.77261,103734.6324,592070.3078,54069.23059,1069151.754,2642297.242,223861.2941,1078938.04,861193.175,1644096.061,570051.1642,623875.7376,503993.7331,1108296.899,5745773.215,526012.8768,318054.2976,927250.6061,961502.6074,1741958.922,7657768.858,633662.0237,15780.3863,11914803.3,2617831.526,357199.4419,1847161.498,318054.2976,2862488.678,883212.3187,165388.2348,215298.2938,313161.1546,26178.31526,120126.6616,131380.8906,822048.0307,753544.0282,477081.4464,45506.23027,26912.28672,51378.00192,40123.77293,12330.72046,103489.9753,108872.4326,13847.5948,2984.817254,74865.08851
1/5/2013,538.2457344,27156.94387,88565.88902,521119.7338,50399.37331,998201.1802,2426998.948,203554.7505,1096064.041,834280.8883,1602504.346,469741.7318,503993.7331,452615.7312,895445.1763,5452184.632,462402.0173,278909.1533,631215.4522,765776.8858,1218392.617,4942074.47,521119.7338,13407.21193,7877960.294,2519968.666,269122.8672,1453263.483,296035.1539,2057566.648,840397.3171,162452.3489,191077.2357,293588.5824,28624.88678,119882.0045,131870.2049,819601.4592,738864.599,479528.0179,45506.23027,31316.11546,49665.40186,40123.77293,12208.39188,100798.7466,100554.0895,13211.48621,3033.748685,73641.80275
1/6/2013,366.985728,24318.92091,82449.46022,469741.7318,48686.77325,917464.32,2341368.945,187407.3784,1037346.324,716845.4554,1225732.332,374325.4426,406130.8723,425703.4445,792689.1725,5414262.774,396344.5862,242455.2376,481974.5894,655681.1674,983521.751,2691228.672,467295.1603,12501.98047,4428294.451,1259984.333,281355.7248,1235518.618,281355.7248,1707706.921,828164.4595,161473.7203,159027.1488,269122.8672,28135.57248,119148.033,130891.5763,824494.6022,736418.0275,501547.1616,45261.57312,27401.60102,48197.45894,40613.08723,11572.28329,97862.8608,98107.51795,12061.59759,3058.2144,72663.17414
1/7/2013,342.5200128,22288.26655,79024.2601,440382.8736,47218.83034,846513.7459,2089372.078,176153.1494,934590.3206,616536.023,949269.7498,340073.4413,362092.585,401237.7293,689933.1686,5318846.484,359646.0134,224350.6084,364539.1565,548032.0205,790242.601,2275311.514,423256.873,10862.77755,2911420.109,1118083.185,313161.1546,1746852.065,264229.7242,1458156.626,834280.8883,160250.4346,140188.5481,249550.295,27156.94387,117190.7758,170770.6921,822048.0307,758437.1712,513780.0192,50888.68762,26178.31526,46729.51603,41102.40154,12330.72046,93948.34637,93459.03206,11254.22899,3082.680115,73152.48845
1/8/2013,269.1228672,20600.1322,72663.17414,420810.3014,46484.85888,795135.744,1945024.358,165388.2348,807368.6016,550478.592,785349.4579,318054.2976,332733.7267,379218.5856,594516.8794,5340865.628,335180.2982,211139.1222,298481.7254,477081.4464,667914.025,1971936.645,379218.5856,9908.614656,2495502.95,968842.3219,243678.5234,1609844.06,254443.4381,1257537.761,839174.0314,160005.7774,125019.8047,232179.6372,25689.00096,114010.2328,187652.0356,822048.0307,753544.0282,503993.7331,50399.37331,25444.34381,44772.25882,41591.71584,11792.47473,94193.00352,89544.51763,10495.79182,3156.077261,73152.48845
1/9/2013,269.1228672,18863.06642,69482.63117,413470.5869,45995.54458,760883.7427,1837375.212,158537.8345,719292.0269,496654.0186,680146.8826,298481.7254,313161.1546,366985.728,533352.5914,5419155.917,318054.2976,205022.6934,271569.4387,474634.8749,628768.8806,1727279.493,357199.4419,9443.766067,2289990.943,1316255.478,219702.1225,1289343.191,244657.152,1130316.042,841620.6029,161473.7203,115233.5186,222148.694,23609.41517,111808.3185,185694.7784,817154.8877,738864.599,503993.7331,49176.08755,24221.05805,42815.0016,38655.83002,10887.24326,88321.23187,87587.26042,9835.21751,3058.2144,73152.48845
